sample number,time,species number,樹種,含水率,4000-5000,5000-6000,6000-7000,7000-8000,8000-9000,9000-10000
42,42,1,イチョウ,69.35483871,0.2963696525096524,0.17184861003861013,0.14132054054054055,0.031051076923076903,0.0062474131274131315,-0.005108294573643409
43,43,1,イチョウ,67.20430108,0.29429525096525105,0.17008586872586873,0.14006042471042474,0.030633115384615387,0.006384555984555984,-0.004684961240310079
44,44,1,イチョウ,64.51612903,0.2922589961389962,0.1683979922779923,0.13888243243243242,0.030276769230769232,0.006617606177606181,-0.0040865503875968994
45,45,1,イチョウ,62.3655914,0.29044640926640936,0.16660907335907338,0.13760976833976835,0.02976665384615384,0.006639999999999998,-0.0038325193798449605
46,46,1,イチョウ,60.21505376,0.28915482625482625,0.165108416988417,0.13654861003861007,0.029336038461538448,0.006641737451737455,-0.0036920542635658932
47,47,1,イチョウ,58.06451613,0.287490501930502,0.16351872586872584,0.13535725868725865,0.028776730769230766,0.006512509652509651,-0.0036214341085271315
48,48,1,イチョウ,56.4516129,0.2858394594594594,0.16217640926640933,0.13432602316602302,0.028279653846153847,0.0063432432432432425,-0.0036412015503875963
49,49,1,イチョウ,54.30107527,0.2849066795366795,0.1606395366795367,0.13316305019305008,0.02772630769230768,0.006117451737451737,-0.00379046511627907
50,50,1,イチョウ,52.15053763,0.28326235521235527,0.15976826254826262,0.1325073359073358,0.027484423076923083,0.006177181467181468,-0.0035048062015503876
51,51,1,イチョウ,50.53763441,0.2827520077220076,0.15886949806949813,0.13187575289575285,0.027270846153846166,0.006205830115830113,-0.003404108527131784
52,52,1,イチョウ,48.92473118,0.2816701930501929,0.15784150579150583,0.13117706563706566,0.026963538461538466,0.006222664092664093,-0.0032368217054263575
53,53,1,イチョウ,47.31182796,0.2811903474903475,0.15701355212355214,0.1304998841698841,0.02646634615384617,0.005848841698841698,-0.0035886046511627912
54,54,1,イチョウ,45.69892473,0.2802610038610037,0.1560337837837838,0.1296305791505792,0.02578930769230769,0.005258069498069498,-0.004217751937984496
55,55,1,イチョウ,44.08602151,0.2791820077220078,0.15508416988416993,0.12880413127413137,0.025157346153846162,0.004771389961389964,-0.004699147286821706
56,56,1,イチョウ,42.47311828,0.2788555984555982,0.15421501930501932,0.1280766023166024,0.02462226923076924,0.0043037451737451705,-0.005226666666666665
57,57,1,イチョウ,40.86021505,0.27831046332046333,0.15355424710424717,0.12752177606177606,0.02423815384615384,0.004050733590733591,-0.0053798449612403095
58,58,1,イチョウ,39.78494624,0.27816984555984553,0.15326312741312742,0.1272655984555984,0.0240745,0.003880656370656369,-0.005606124031007753
59,59,1,イチョウ,38.70967742,0.27766953667953664,0.15310258687258677,0.1271130888030888,0.02401603846153846,0.003910733590733593,-0.0054670542635658894
60,60,1,イチョウ,37.09677419,0.27779934362934344,0.15287976833976838,0.12693019305019307,0.02388584615384615,0.0037801930501930505,-0.005670697674418607
61,61,1,イチョウ,36.02150538,0.27755806949806955,0.15261471042471048,0.1267028571428571,0.023784076923076936,0.003728725868725869,-0.005683294573643411
62,62,1,イチョウ,34.94623656,0.27751061776061775,0.15241791505791502,0.1265489189189189,0.02370703846153846,0.00366876447876448,-0.005723914728682173
63,63,1,イチョウ,34.40860215,0.27682455598455585,0.15209486486486495,0.12631204633204632,0.023642000000000003,0.0037413899613899606,-0.005524224806201551
64,64,1,イチョウ,33.33333333,0.276410386100386,0.1517104633204633,0.12604084942084925,0.023518961538461548,0.0037008108108108092,-0.0055598837209302355
65,65,1,イチョウ,32.25806452,0.27638274131274126,0.15140729729729746,0.12579729729729724,0.02341630769230769,0.0036928571428571427,-0.005542403100775195
66,66,1,イチョウ,31.1827957,0.2758318532818533,0.15104104247104239,0.1255607335907335,0.023342884615384602,0.0037357915057915085,-0.005368837209302324
67,67,1,イチョウ,30.64516129,0.27554347490347475,0.1506496138996139,0.12527667953667954,0.023242076923076928,0.0037650579150579158,-0.005288720930232554
68,68,1,イチョウ,29.56989247,0.2751591891891892,0.15026555984555984,0.12501054054054053,0.02314911538461539,0.0037996911196911194,-0.005198294573643413
69,69,1,イチョウ,29.03225806,0.2752116602316601,0.14993567567567567,0.12480301158301171,0.023090269230769227,0.0038023552123552114,-0.005121279069767443
70,70,1,イチョウ,28.49462366,0.27433351351351354,0.1494865250965251,0.12446262548262545,0.02295719230769231,0.0038193050193050192,-0.005059186046511631
71,71,1,イチョウ,27.41935484,0.2743971042471041,0.14909996138996137,0.12415220077220071,0.02276573076923077,0.00370915057915058,-0.0051771317829457375
72,72,1,イチョウ,26.88172043,0.27427822393822393,0.1487445559845559,0.12386571428571434,0.022575499999999988,0.00356023166023166,-0.005313139534883719
73,73,1,イチョウ,26.34408602,0.2734990733590736,0.14832536679536673,0.12356270270270268,0.022477038461538448,0.0035918532818532815,-0.0052327906976744176
74,74,1,イチョウ,25.80645161,0.2729703861003859,0.14789320463320466,0.12325984555984552,0.022361884615384613,0.0035982239382239393,-0.005150813953488376
75,75,1,イチョウ,25.2688172,0.2728604247104246,0.14744081081081079,0.12291355212355216,0.022183038461538462,0.0035364478764478772,-0.005127093023255814
76,76,1,イチョウ,24.7311828,0.27209528957528956,0.14669362934362934,0.12238818532818527,0.021946576923076926,0.0034960617760617773,-0.005103372093023252
77,77,1,イチョウ,24.19354839,0.2714930888030886,0.14582467181467174,0.12174501930501927,0.021615269230769237,0.0033663320463320472,-0.005192480620155039
78,78,1,イチョウ,23.65591398,0.27025683397683387,0.1448727027027028,0.12105818532818534,0.021283384615384624,0.0032851737451737467,-0.005108604651162791
79,79,1,イチョウ,23.11827957,0.2695183397683397,0.14392822393822396,0.12037853281853285,0.020939153846153843,0.003155830115830114,-0.0051417441860465134
80,80,1,イチョウ,22.58064516,0.2684571814671814,0.14298239382239378,0.11971038610038615,0.020597192307692306,0.0030305405405405407,-0.0051913178294573665
81,81,1,イチョウ,22.58064516,0.2676802316602318,0.1418767953667953,0.1189220463320463,0.020172346153846166,0.0028711196911196902,-0.005297248062015505
82,82,1,イチョウ,22.04301075,0.2663058301158302,0.1405149806949808,0.1179597297297298,0.019671538461538463,0.002687181467181467,-0.005309186046511628
83,83,1,イチョウ,21.50537634,0.2654779536679535,0.13919243243243246,0.11705138996138992,0.019213461538461544,0.002525637065637066,-0.005397829457364339
84,84,1,イチョウ,20.96774194,0.26426065637065616,0.13797494208494207,0.11621918918918916,0.018913346153846156,0.0025555212355212356,-0.005228139534883722
85,85,1,イチョウ,20.43010753,0.26262003861003874,0.13699671814671815,0.11576351351351355,0.01903223076923077,0.003153976833976835,-0.004348914728682168
86,86,1,イチョウ,20.43010753,0.2618828957528957,0.13619710424710427,0.11552972972972977,0.01920873076923077,0.0037096138996139012,-0.0036373255813953484
87,87,1,イチョウ,19.35483871,0.2614919691119692,0.13553046332046328,0.11530073359073353,0.019351653846153852,0.0041872972972972974,-0.0030044961240310083
88,88,1,イチョウ,19.35483871,0.2604761389961389,0.13465455598455595,0.1149144015444015,0.019390999999999995,0.004535984555984553,-0.0025174806201550383
89,89,1,イチョウ,18.8172043,0.2593941312741312,0.1336563320463321,0.11437254826254828,0.01929457692307692,0.004768416988416989,-0.0021753488372093016
90,90,1,イチョウ,18.27956989,0.2586883011583011,0.1327349806949807,0.11387880308880305,0.019222999999999994,0.0049776833976833985,-0.0018795348837209304
91,91,1,イチョウ,18.27956989,0.25779872586872593,0.13182158301158295,0.11334042471042471,0.019080192307692312,0.005145598455598453,-0.0015880620155038756
92,92,1,イチョウ,17.74193548,0.2573833976833976,0.13102988416988423,0.11286679536679542,0.018930307692307694,0.005218841698841701,-0.0014516666666666664
93,93,1,イチョウ,17.20430108,0.2565847104247105,0.13036930501930505,0.11251073359073357,0.018876115384615384,0.005350617760617761,-0.0012072868217054265
94,94,1,イチョウ,17.20430108,0.2561770656370656,0.1298132818532818,0.11227146718146712,0.01890265384615385,0.005607606177606179,-0.0008268992248062015
191,1,3,ウエンジ,58.73493976,0.6976183397683396,0.5336510038610038,0.49744494208494233,0.2520458076923075,0.1707972200772201,0.19579077519379837
192,2,3,ウエンジ,54.21686747,0.6570158687258689,0.4919798455598457,0.4537866795366793,0.2190865384615385,0.14873965250965263,0.17678182170542628
193,3,3,ウエンジ,50.60240964,0.6108674903474902,0.45029038610038613,0.41147046332046344,0.18979188461538454,0.12577239382239389,0.153604031007752
194,4,3,ウエンジ,46.98795181,0.5125017760617762,0.36621617760617775,0.3300080308880307,0.13887399999999997,0.08716015444015446,0.11311224806201553
195,5,3,ウエンジ,43.97590361,0.4200522007722009,0.2811914671814672,0.245736447876448,0.08267596153846152,0.043605289575289564,0.06811116279069769
196,6,3,ウエンジ,40.96385542,0.37847934362934377,0.24048803088803103,0.20544270270270293,0.052443192307692295,0.01968150579150579,0.04505042635658915
197,7,3,ウエンジ,38.85542169,0.370485521235521,0.23039741312741321,0.19452069498069488,0.04257030769230771,0.011384208494208492,0.037427093023255815
198,8,3,ウエンジ,36.44578313,0.35897162162162183,0.21799810810810805,0.18317787644787634,0.03405469230769231,0.005360540540540541,0.03225023255813953
199,9,3,ウエンジ,34.3373494,0.35145494208494205,0.21019984555984553,0.1765569111969111,0.02998007692307692,0.003036332046332045,0.030639573643410856
200,10,3,ウエンジ,32.22891566,0.35199305019305016,0.210083861003861,0.1763724324324324,0.029601384615384616,0.002771969111969113,0.0305529457364341
201,11,3,ウエンジ,30.72289157,0.34720042471042495,0.20488555984555995,0.1719516216216217,0.02726707692307692,0.001717953667953668,0.030085310077519363
202,12,3,ウエンジ,28.91566265,0.3454282239382238,0.20243787644787634,0.16998513513513508,0.02606038461538461,0.0014591119691119696,0.030326550387596917
203,13,3,ウエンジ,27.40963855,0.34080250965250947,0.19636046332046325,0.1652398455598457,0.02362842307692307,0.0010286486486486492,0.030888604651162797
204,14,3,ウエンジ,26.5060241,0.3416745173745173,0.19609644787644792,0.16490938223938234,0.023350192307692308,0.0013195366795366792,0.03165399224806202
205,15,3,ウエンジ,25.30120482,0.3397905019305019,0.19327146718146707,0.16283351351351336,0.02256546153846153,0.0018414671814671814,0.03293744186046513
206,16,3,ウエンジ,24.39759036,0.33850555984555974,0.19130281853281847,0.16142525096525104,0.02203003846153846,0.0023430888030888035,0.034072403100775174
207,17,3,ウエンジ,23.19277108,0.3353803088803089,0.18715895752895756,0.1583895366795367,0.02057815384615385,0.002634517374517374,0.03521224806201549
208,18,3,ウエンジ,22.28915663,0.3347435521235521,0.1851424324324324,0.15676347490347484,0.019789038461538462,0.0026778764478764465,0.03568155038759692
209,19,3,ウエンジ,21.68674699,0.3332485714285717,0.1825730115830115,0.15511131274131276,0.018968423076923074,0.003045559845559846,0.03662147286821703
210,20,3,ウエンジ,21.08433735,0.3322479922779924,0.1806134749034748,0.15370115830115824,0.01822923076923077,0.003156216216216216,0.03712856589147283
211,21,3,ウエンジ,20.48192771,0.33089444015444014,0.17839459459459467,0.15206513513513525,0.017387923076923075,0.003082084942084942,0.037403488372093015
212,22,3,ウエンジ,19.57831325,0.3283716988416987,0.17591490347490343,0.15028772200772192,0.01659703846153846,0.003150347490347489,0.03788531007751938
213,23,3,ウエンジ,18.97590361,0.32797957528957555,0.17483818532818535,0.14957108108108114,0.016103,0.00321046332046332,0.038289224806201526
214,24,3,ウエンジ,18.37349398,0.3273689961389964,0.17347050193050192,0.14852007722007723,0.015355423076923076,0.0028602316602316623,0.038019186046511645
215,25,3,ウエンジ,18.07228916,0.32564722007721997,0.17151915057915051,0.14698216216216217,0.014500192307692308,0.0025101544401544412,0.037876007751938
216,26,3,ウエンジ,17.46987952,0.32374073359073363,0.16963644787644788,0.1456804247104247,0.01383476923076923,0.0024791891891891896,0.03817147286821703
217,27,3,ウエンジ,16.86746988,0.32302339768339783,0.16854594594594605,0.14493216216216206,0.01332288461538462,0.002393590733590734,0.03832344961240309
218,28,3,ウエンジ,16.56626506,0.3213827027027025,0.16661266409266412,0.14348729729729728,0.012526307692307694,0.002075096525096527,0.03815116279069768
219,29,3,ウエンジ,16.26506024,0.31998644787644787,0.16488007722007722,0.14220637065637062,0.011916230769230768,0.0019288803088803087,0.03818573643410851
220,30,3,ウエンジ,15.6626506,0.31941131274131246,0.16387393822393825,0.1415640154440154,0.011421153846153847,0.0018838996138996161,0.038376550387596894
221,31,3,ウエンジ,15.36144578,0.318466138996139,0.16282247104247113,0.14078108108108117,0.010934615384615385,0.0016881853281853294,0.0383641085271318
222,32,3,ウエンジ,14.75903614,0.3171083011583013,0.16119301158301158,0.1395739768339768,0.010421307692307695,0.0016096525096525095,0.03846147286821705
223,33,3,ウエンジ,14.45783133,0.31684081081081084,0.16050416988417,0.13919146718146713,0.010169153846153842,0.0017490733590733577,0.03879492248062016
224,34,3,ウエンジ,14.15662651,0.3163433590733591,0.15970181467181463,0.13872413127413122,0.009948038461538461,0.0018718918918918922,0.039099961240310135
225,35,3,ウエンジ,13.85542169,0.31561949806949813,0.15893111969111975,0.1381286486486487,0.009547961538461536,0.0016794980694980683,0.03900798449612402
226,36,3,ウエンジ,13.55421687,0.3146361389961389,0.1568508108108108,0.13687023166023163,0.009044961538461543,0.001790540540540539,0.03937802325581393
227,37,3,ウエンジ,13.25301205,0.31436378378378393,0.1567125482625483,0.1366437837837838,0.008893153846153846,0.0017777220077220093,0.03941957364341088
228,38,3,ウエンジ,12.95180723,0.31378992277992274,0.15574193050193041,0.1361407335907336,0.008675346153846148,0.00196073359073359,0.039860077519379825
229,39,3,ウエンジ,12.04819277,0.3127576833976832,0.15456621621621622,0.13532586872586877,0.00843830769230769,0.0020398841698841706,0.040055271317829474
230,40,3,ウエンジ,12.04819277,0.3128786486486486,0.1542517374517375,0.1352289961389962,0.008382384615384616,0.002285752895752896,0.04049050387596898
231,41,3,ウエンジ,11.74698795,0.31272741312741287,0.15368111969111975,0.134856138996139,0.008340153846153851,0.002481621621621622,0.04076178294573643
232,42,3,ウエンジ,11.44578313,0.3123801158301158,0.15325378378378376,0.13469212355212362,0.008436307692307693,0.002865598455598455,0.04133042635658913
233,43,3,ウエンジ,11.14457831,0.3116003474903475,0.1526835907335907,0.1344328957528959,0.008398269230769233,0.003182586872586872,0.04192011627906984
234,44,3,ウエンジ,10.84337349,0.31154741312741313,0.1523420077220077,0.13428833976833965,0.008460153846153845,0.0034512355212355217,0.042282403100775225
235,45,3,ウエンジ,10.54216867,0.3114227799227799,0.15179123552123558,0.1340051351351351,0.008326038461538456,0.0035660617760617775,0.04251918604651164
236,46,3,ウエンジ,10.54216867,0.3113768339768341,0.151539806949807,0.13386702702702702,0.00836126923076922,0.0038238996138996147,0.04288748062015504
237,47,3,ウエンジ,9.939759036,0.31083532818532805,0.1505989575289575,0.13342193050193055,0.008357807692307694,0.004197528957528955,0.04343864341085272
238,48,3,ウエンジ,9.939759036,0.3113252509652511,0.150980694980695,0.1337889961389961,0.008728,0.004596718146718147,0.04386410852713178
239,49,3,ウエンジ,9.638554217,0.31084861003861003,0.15076984555984557,0.1337654826254826,0.009021999999999995,0.005122625482625482,0.04458271317829463
240,50,3,ウエンジ,9.337349398,0.3111360617760617,0.15096482625482635,0.13408640926640927,0.009301807692307689,0.005510501930501928,0.045063062015503905
241,51,3,ウエンジ,9.036144578,0.3114723938223939,0.15064046332046332,0.13412961389961384,0.009448461538461532,0.00585081081081081,0.04552802325581393
242,52,3,ウエンジ,9.036144578,0.312316833976834,0.15120162162162157,0.13453359073359084,0.009637615384615385,0.005964594594594595,0.04562538759689924
243,53,3,ウエンジ,8.734939759,0.3119842471042471,0.15105158301158306,0.13445019305019304,0.009733961538461539,0.006143667953667951,0.04576201550387593
244,54,3,ウエンジ,8.43373494,0.3119648648648651,0.15120382239382235,0.13469548262548264,0.009910269230769231,0.0064637837837837825,0.04626093023255813
245,55,3,ウエンジ,8.43373494,0.3125264092664092,0.15115451737451746,0.1347637451737452,0.009937692307692312,0.006580000000000001,0.04643461240310079
246,56,3,ウエンジ,8.13253012,0.3131196525096523,0.15101200772200776,0.1346324710424711,0.00974015384615385,0.006296138996138998,0.04601538759689922
247,57,3,ウエンジ,8.13253012,0.3131174903474904,0.15082154440154444,0.13439710424710422,0.009586653846153845,0.006137297297297297,0.04576647286821702
248,58,3,ウエンジ,7.831325301,0.313388223938224,0.15073088803088808,0.1344883011583011,0.009645115384615387,0.006370772200772201,0.046103875968992264
249,59,3,ウエンジ,7.530120482,0.3140359459459459,0.1507294208494209,0.13453830115830112,0.00969019230769231,0.006452239382239383,0.04621205426356592
250,60,3,ウエンジ,7.530120482,0.3139136679536678,0.15062030888030895,0.13450976833976835,0.009627538461538463,0.006467104247104245,0.0462822093023256
251,61,3,ウエンジ,7.228915663,0.31397988416988437,0.15040837837837848,0.13435776061776072,0.009591461538461538,0.006423783783783778,0.046175697674418606
252,62,3,ウエンジ,7.228915663,0.31425791505791506,0.15057791505791507,0.13457397683397676,0.009783653846153846,0.006777876447876449,0.04675573643410851
253,63,3,ウエンジ,6.927710843,0.31482119691119703,0.15078108108108115,0.13480266409266406,0.009917769230769232,0.006935135135135136,0.046859418604651155
254,64,3,ウエンジ,6.927710843,0.3142103088803089,0.1507001544401545,0.13476185328185336,0.009958653846153846,0.007080077220077218,0.04710445736434108
255,65,3,ウエンジ,6.626506024,0.31400799227799225,0.15028111969111965,0.13450918918918925,0.009892076923076925,0.007083976833976832,0.04701096899224804
256,66,3,ウエンジ,6.626506024,0.31318034749034745,0.15010471042471035,0.13439065637065647,0.009944230769230771,0.00728942084942085,0.047364961240310095
257,67,3,ウエンジ,6.325301205,0.3130055212355212,0.1498149420849421,0.13417003861003862,0.009900307692307694,0.007313127413127415,0.0473546124031008
258,68,3,ウエンジ,6.024096386,0.31259146718146713,0.14970177606177604,0.13410397683397685,0.009817269230769225,0.007273667953667955,0.047316782945736414
259,69,3,ウエンジ,6.325301205,0.3120159073359075,0.14930559845559851,0.13384903474903473,0.009811500000000008,0.007395057915057913,0.047448643410852746
260,70,3,ウエンジ,6.024096386,0.3123161389961389,0.14927490347490344,0.1338952895752896,0.00983407692307692,0.007472200772200771,0.04751058139534885
261,71,3,ウエンジ,6.024096386,0.3119241312741311,0.1491246718146719,0.1337598069498069,0.00978876923076923,0.007496370656370659,0.04763461240310074
262,72,3,ウエンジ,6.024096386,0.31189328185328175,0.1488297683397683,0.1334645559845561,0.009701076923076925,0.007382702702702709,0.04742034883720934
263,73,3,ウエンジ,5.722891566,0.3109542857142857,0.14845000000000008,0.13337270270270263,0.009834346153846157,0.007796216216216222,0.04803220930232563
264,74,3,ウエンジ,5.722891566,0.31084223938223937,0.14847633204633204,0.13345034749034745,0.009929615384615382,0.007996949806949812,0.04827263565891474
265,75,3,ウエンジ,5.722891566,0.31026918918918917,0.14832397683397683,0.13333648648648647,0.009905384615384613,0.008030694980694985,0.048402519379844966
266,76,3,ウエンジ,5.421686747,0.309915444015444,0.14795768339768345,0.13310579150579158,0.009885230769230775,0.008118957528957528,0.04851841085271322
267,77,3,ウエンジ,5.120481928,0.3096771814671814,0.1478004247104248,0.13303339768339764,0.010031999999999992,0.008422509652509654,0.048892519379845
268,78,3,ウエンジ,5.120481928,0.3094711196911199,0.1477346718146718,0.1330413127413127,0.01008130769230769,0.00859972972972973,0.04914065891472873
269,79,3,ウエンジ,5.120481928,0.30901837837837826,0.14761069498069498,0.13292563706563698,0.009996076923076923,0.008506718146718146,0.04903317829457365
270,80,3,ウエンジ,5.120481928,0.3084119691119691,0.14726227799227792,0.13270853281853276,0.010006653846153844,0.008615250965250967,0.04917011627906976
271,81,3,ウエンジ,4.819277108,0.3079141312741313,0.14713030888030887,0.13257258687258688,0.009979730769230775,0.008661505791505795,0.04924201550387601
272,82,3,ウエンジ,4.819277108,0.3083412355212357,0.14717301158301163,0.13262142857142858,0.010012846153846159,0.00869127413127413,0.049295465116279
273,83,3,ウエンジ,4.819277108,0.3075511196911194,0.14692953667953668,0.13247150579150585,0.010119961538461538,0.008962393822393824,0.04965155038759688
274,84,3,ウエンジ,4.518072289,0.3074725868725869,0.1468872200772201,0.13251610038610032,0.01031192307692308,0.009260463320463326,0.05003806201550382
275,85,3,ウエンジ,4.518072289,0.3070908880308878,0.146824942084942,0.13251401544401534,0.010550769230769228,0.009637220077220078,0.050434457364341136
276,86,3,ウエンジ,4.518072289,0.30707081081081095,0.14674884169884164,0.13260586872586863,0.010755576923076918,0.009998108108108111,0.050935310077519405
277,87,3,ウエンジ,4.21686747,0.30699023166023165,0.14663270270270268,0.1325607722007723,0.010935884615384611,0.010297027027027025,0.051265658914728666
278,1,4,ウォールナット,156.25,1.1484920849420832,0.9464705405405405,0.8862056756756761,0.5849544230769227,0.42836756756756744,0.40121124031007743
279,2,4,ウォールナット,150.8333333,0.9930432818532815,0.8198320077220077,0.7716639768339767,0.5243556923076924,0.3992130888030892,0.3761255426356589
280,3,4,ウォールナット,146.6666667,0.8265094208494205,0.6797345559845559,0.6306857142857142,0.4361999615384616,0.338843976833977,0.32029558139534886
281,4,4,ウォールナット,142.9166667,0.7563354054054058,0.6169551737451738,0.5639338996138993,0.38826688461538467,0.3024567567567568,0.2864730620155042
282,5,4,ウォールナット,139.1666667,0.7061394980694983,0.5689984942084946,0.5128696911196908,0.3480148846153846,0.2697592664092664,0.2561879844961241
283,6,4,ウォールナット,136.25,0.6700851351351353,0.5328904247104248,0.4747203474903476,0.31613630769230777,0.24293749034749035,0.2313618604651162
284,7,4,ウォールナット,132.5,0.6400167181467181,0.5021532046332047,0.44258482625482615,0.28745315384615394,0.21766015444015438,0.20782457364341092
285,8,4,ウォールナット,129.5833333,0.6196577606177613,0.4785923166023165,0.41811173745173763,0.26368092307692303,0.19645664092664097,0.1887173255813954
286,9,4,ウォールナット,126.6666667,0.600456911196911,0.45521640926640905,0.39194444015444024,0.2376698076923076,0.17307027027027033,0.16743945736434104
